Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Blumenauer	Earl		P	OR03	2019	9/4/2019	20012263
Hon.	Blumenauer	Earl		P	OR03	2019	10/16/2019	20012474
Hon.	Blumenauer	Earl		P	OR03	2019	11/13/2019	20012604
Hon.	Blumenauer	Earl		P	OR03	2019	11/25/2019	20012670
Hon.	Blumenauer	Earl		P	OR03	2019	12/6/2019	20012709
Hon.	Blumenauer	Earl		X	OR03	2019	4/15/2020	30008619
	Blundo	Leo		C	NV04	2019	8/22/2019	10029226
Hon.	Blunt Rochester	Lisa		O	DE00	2019	8/4/2020	10035615
Hon.	Blunt Rochester	Lisa		P	DE00	2019	2/19/2019	20011115
Hon.	Blunt Rochester	Lisa		P	DE00	2019	4/26/2019	20011543
Hon.	Blunt Rochester	Lisa		X	DE00	2019	4/15/2020	30008620
	Boatman	R. J.		C	TX36	2019	11/7/2019	10029000
	Bocchino	Brandon Reid		C	CO05	2019	12/29/2019	10032342
	Boebert	Lauren		C	CO03	2019	1/9/2020	8216855
	Boedeker	Darwin		C	TX23	2019	4/6/2020	10034807
	Bolaños Scow	Adam		C	CA20	2019	12/24/2019	10031246
	Bolinger	Larry Lee Scott		C	NE03	2019	8/25/2019	10029256
	Bolz	Kate		C	NE01	2019	10/22/2019	10029757
Hon.	Bonamici	Suzanne		O	OR01	2019	7/24/2020	10035602
Hon.	Bonamici	Suzanne		X	OR01	2019	4/15/2020	30008631
	Bonner	Justin		D	WI03	2019	8/14/2019	9115284
	Bonner	Justin		W	WI03	2019	4/23/2020	7731
	Boor	Matthew		D	WI06	2019	5/17/2019	40001511
	Booth	Douglas James		C	MI03	2019	8/8/2019	10027386
	Booth	Douglas James		X	MI03	2019	5/16/2019	30005529
	Booth	Douglas James		X	MI03	2019	6/19/2019	30005982
Hon.	Bordallo	Madeleine Z.		T	GU00	2019	2/1/2019	10025118
	Boroughs	Adair Ford		C	SC02	2019	5/14/2019	10027260
Hon.	Bost	Michael		O	IL12	2019	8/13/2020	10038143
Hon.	Bost	Michael		X	IL12	2019	4/15/2020	30008644
	Bourdeaux	Carolyn		C	GA07	2019	8/13/2019	10027234
	Bourdeaux	Carolyn		X	GA07	2019	5/16/2019	30005485
	Boville	Bruce Bintliff		D	TX21	2019	5/20/2020	8217263
	Bowman	Jamaal		C	NY16	2019	7/2/2019	10028625
	Boyanton	Carl		C	MS04	2019	11/21/2019	10030018
Mr.	Boyd	Samuel Graham		C	NC03	2019	4/5/2019	10025432
	Boylan	Lindsey		C	NY10	2019	8/22/2019	9115328
Hon.	Boyle	Brendan F.		O	PA02	2019	8/13/2020	10038596
Hon.	Boyle	Brendan F.		X	PA02	2019	4/15/2020	30008658
	Boyle	Kevin Michael		W		2019		8216927
Mr.	Boyle	Kevin Michael		D	FL22	2019	1/8/2020	40001797
	Bradley	James P.		A	CA28	2019	11/13/2019	10029996
	Bradley	James P.		C	CA28	2019	11/13/2019	10029920
	Bradley	James P.		D	CA33	2019	11/7/2019	40001701
	Bradley	James P.		D	CA33	2019	11/8/2019	40001703
Mr.	Bradley	James P.		D	CA48	2019	3/29/2019	9114510
Hon.	Brady	Kevin		O	TX08	2019	9/12/2020	10039061
Hon.	Brady	Kevin		X	TX08	2019	4/15/2020	30008667
Hon.	Brady	Robert A.		T	PA01	2019	1/15/2019	10025067
	Brakey	Eric		C	ME02	2019	8/28/2019	10029281
	Branch	Talmadge		A	MD07	2019	4/9/2020	10034829
	Branch	Talmadge		C	MD07	2019	4/9/2020	10034828
	Branscum	Samuel Ray		D	MI07	2019	11/22/2019	8216760
Hon.	Brat	David Alan		T	VA07	2019	1/14/2019	10025061
Hon.	Brat	David Alan		X	VA07	2019	1/14/2019	30005023
	Braun	Steven J.		C	IN05	2019	12/18/2019	10029395
	Braun	Steven J.		X	IN05	2019	9/13/2019	30006149
	Bravo	Jeremy John		C	TX31	2019	1/10/2020	10032424
Mrs.	Breyman	Cynthia Jean		C	TX11	2019	10/30/2019	10029808
	Brier	Thomas F.	Jr.	C	PA10	2019	5/15/2019	10025413
Hon.	Brindisi	Anthony		O	NY22	2019	8/12/2020	10035092
Hon.	Brindisi	Anthony		X	NY22	2019	4/15/2020	30008682
	Broad	Adam		C	IL10	2019	10/13/2019	10029693
Ms.	Brock	Martha Montgomery		D	NC04	2019	7/30/2019	40001592
	Brooks	Clayton W.	III	C	NC09	2019	2/3/2020	10033581
	Brooks	John L.	II	C	CA53	2019	12/23/2019	10032320
	Brooks	John L.	II	D	CA53	2019	12/30/2019	8216897
Hon.	Brooks	Mo		A	AL05	2019	2/16/2021	10039541
Hon.	Brooks	Mo		A	AL05	2019	7/26/2021	10041789
Hon.	Brooks	Mo		O	AL05	2019	7/1/2020	10036430
Hon.	Brooks	Mo		P	AL05	2019	3/4/2019	20011243
